테이블명,순서,필드명,데이터값,비고
branch,1,br_name,강남점,지점명
branch,1,br_phone,02-1234-5678,지점 전화번호
branch,1,br_address,서울시 강남구 테헤란로 123,지점 주소
branch,1,br_lat,37.5010,위도
branch,1,br_lng,127.0260,경도
branch,2,br_name,홍대점,지점명
branch,2,br_phone,02-2345-6789,지점 전화번호
branch,2,br_address,서울시 마포구 홍익로 456,지점 주소
branch,2,br_lat,37.5563,위도
branch,2,br_lng,126.9236,경도
branch,3,br_name,잠실점,지점명
branch,3,br_phone,02-3456-7890,지점 전화번호
branch,3,br_address,서울시 송파구 올림픽로 789,지점 주소
branch,3,br_lat,37.5133,위도
branch,3,br_lng,127.1028,경도
branch,4,br_name,부산점,지점명
branch,4,br_phone,051-1111-2222,지점 전화번호
branch,4,br_address,부산시 해운대구 해운대해변로 321,지점 주소
branch,4,br_lat,35.1631,위도
branch,4,br_lng,129.1636,경도
branch,5,br_name,대구점,지점명
branch,5,br_phone,053-3333-4444,지점 전화번호
branch,5,br_address,대구시 중구 동성로 654,지점 주소
branch,5,br_lat,35.8714,위도
branch,5,br_lng,128.6014,경도
maker,1,m_name,나이키,제조사명
maker,1,m_phone,02-1111-1111,제조사 전화번호
maker,1,m_address,서울시 강남구 테헤란로 100,제조사 주소
maker,2,m_name,아디다스,제조사명
maker,2,m_phone,02-2222-2222,제조사 전화번호
maker,2,m_address,서울시 서초구 서초대로 200,제조사 주소
maker,3,m_name,뉴발란스,제조사명
maker,3,m_phone,02-3333-3333,제조사 전화번호
maker,3,m_address,서울시 송파구 올림픽로 300,제조사 주소
maker,4,m_name,컨버스,제조사명
maker,4,m_phone,02-4444-4444,제조사 전화번호
maker,4,m_address,서울시 마포구 홍익로 400,제조사 주소
maker,5,m_name,반스,제조사명
maker,5,m_phone,02-5555-5555,제조사 전화번호
maker,5,m_address,서울시 강동구 천호대로 500,제조사 주소
kind_category,1,kc_name,러닝화,종류 카테고리
kind_category,2,kc_name,스니커즈,종류 카테고리
kind_category,3,kc_name,부츠,종류 카테고리
kind_category,4,kc_name,로퍼,종류 카테고리
kind_category,5,kc_name,샌들,종류 카테고리
color_category,1,cc_name,블랙,색상 카테고리
color_category,2,cc_name,화이트,색상 카테고리
color_category,3,cc_name,그레이,색상 카테고리
color_category,4,cc_name,레드,색상 카테고리
color_category,5,cc_name,블루,색상 카테고리
color_category,6,cc_name,그린,색상 카테고리
color_category,7,cc_name,옐로우,색상 카테고리
size_category,1,sc_name,230,사이즈 카테고리
size_category,2,sc_name,240,사이즈 카테고리
size_category,3,sc_name,250,사이즈 카테고리
size_category,4,sc_name,260,사이즈 카테고리
size_category,5,sc_name,270,사이즈 카테고리
size_category,6,sc_name,280,사이즈 카테고리
size_category,7,sc_name,290,사이즈 카테고리
gender_category,1,gc_name,남성,성별 카테고리
gender_category,2,gc_name,여성,성별 카테고리
gender_category,3,gc_name,공용,성별 카테고리
user,1,u_email,user001@example.com,일반 회원 - 최근 접속 (5일 전)
user,1,u_name,홍길동,이름
user,1,u_phone,010-1111-1111,전화번호
user,1,u_address,서울시 강남구 테헤란로 123,주소
user,1,u_quit_date,,탈퇴일 (없음)
user,1,last_login_days_ago,5,마지막 로그인 (일)
user,1,password,qwer1234,비밀번호 (user_auth_identities)
user,2,u_email,user002@example.com,일반 회원 - 최근 접속 (15일 전)
user,2,u_name,김철수,이름
user,2,u_phone,010-2222-2222,전화번호
user,2,u_address,서울시 마포구 홍익로 456,주소
user,2,u_quit_date,,탈퇴일 (없음)
user,2,last_login_days_ago,15,마지막 로그인 (일)
user,2,password,qwer1234,비밀번호 (user_auth_identities)
user,3,u_email,user003@example.com,일반 회원 - 최근 접속 (30일 전)
user,3,u_name,이영희,이름
user,3,u_phone,010-3333-3333,전화번호
user,3,u_address,서울시 송파구 올림픽로 789,주소
